<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
24/03/22,000000,10534.824455,10620.805025,10380.500355,10415.774435,35399
25/03/22,000000,10415.774435,10522.69899,10330.89618,10339.7147,32153
27/03/22,000000,10352.94248,10358.454055,10312.156825,10318.770715,851
27/03/22,000000,10319.87303,10447.74157,10233.89246,10410.26286,39148
29/03/22,000000,10412.46749,10496.24343,10359.55637,10491.83417,32763
30/03/22,000000,10494.0388,10643.95364,10419.08138,10463.17398,41284
31/03/22,000000,10463.17398,10513.88047,10372.78415,10442.229995,34367
01/04/22,000000,10442.229995,10475.299445,10293.41747,10373.886465,43007
03/04/22,000000,10373.886465,10392.62582,10358.454055,10366.17026,258
04/04/22,000000,10367.272575,10602.06567,10335.30544,10553.56381,35079
05/04/22,000000,10552.461495,10714.5018,10473.094815,10491.83417,38116
06/04/22,000000,10491.83417,10556.870755,10301.133675,10397.03508,46408
07/04/22,000000,10393.728135,10426.797585,10306.64525,10389.318875,34319
08/04/22,000000,10389.318875,10506.164265,10366.17026,10425.69527,27765
10/04/22,000000,10421.28601,10448.843885,10416.87675,10423.49064,412
11/04/22,000000,10424.592955,10425.69527,10194.20912,10215.153105,46075
12/04/22,000000,10215.153105,10419.08138,10196.41375,10365.067945,34944
13/04/22,000000,10365.067945,10485.22028,10305.542935,10377.19341,30280
14/04/22,000000,10378.295725,10452.15083,10286.80358,10406.955915,29696
17/04/22,000000,10460.96935,10535.92677,10443.33231,10456.56009,1244
18/04/22,000000,10454.35546,10675.920775,10335.30544,10588.83789,37638
19/04/22,000000,10588.83789,10603.167985,10318.770715,10369.477205,41700
20/04/22,000000,10369.477205,10381.60267,10184.288285,10283.496635,35565
21/04/22,000000,10283.496635,10401.44434,10201.925325,10328.69155,30130
22/04/22,000000,10328.69155,10376.091095,10075.1591,10099.41003,37916
24/04/22,000000,10100.512345,10153.423465,10080.670675,10109.330865,583
25/04/22,000000,10114.84244,10139.09337,9714.702095,9881.15166,45632
26/04/22,000000,9876.7424,9974.848435,9662.89329,9708.088205,21020
27/04/22,000000,9708.088205,9892.17481,9708.088205,9794.068775,10693
28/04/22,000000,9797.37572,9853.593785,9626.516895,9776.431735,1959
29/04/22,000000,9776.431735,9947.29056,9637.540045,9673.91644,43189
01/05/22,000000,9684.93959,9692.655795,9646.358565,9687.14422,760
02/05/22,000000,9687.14422,9709.19052,9268.26452,9456.760385,43501
03/05/22,000000,9458.965015,9612.1868,9399.440005,9490.93215,45276
04/05/22,000000,9490.93215,9663.995605,9371.88213,9635.335415,44082
05/05/22,000000,9634.2331,9788.5572,9428.100195,9472.192795,56098
06/05/22,000000,9472.192795,9521.79697,9327.78953,9366.370555,41580
08/05/22,000000,9343.22194,9358.65435,9317.868695,9327.78953,592
09/05/22,000000,9328.891845,9342.119625,9091.89412,9249.525165,61658
10/05/22,000000,9247.320535,9387.31454,9101.814955,9184.48858,51433
11/05/22,000000,9182.28395,9369.6775,9145.907555,9288.10619,49139
12/05/22,000000,9288.10619,9310.15249,8900.09131,9027.95985,62078
13/05/22,000000,9029.062165,9226.37655,8939.77465,9183.386265,45375
15/05/22,000000,9214.251085,9272.67378,9198.818675,9221.96729,1038
16/05/22,000000,9224.17192,9303.5386,9112.838105,9279.28767,35899
17/05/22,000000,9280.389985,9443.532605,9272.67378,9334.40342,40832
18/05/22,000000,9334.40342,9365.26824,9108.428845,9162.44228,41233
19/05/22,000000,9162.44228,9475.49974,9137.089035,9420.38399,51485
20/05/22,000000,9419.281675,9540.536325,9370.779815,9485.420575,41566
22/05/22,000000,9467.783535,9524.0016,9467.783535,9516.285395,628
23/05/22,000000,9511.876135,9601.16365,9418.17936,9540.536325,43576
24/05/22,000000,9542.740955,9570.29883,9384.007595,9509.671505,36575
25/05/22,000000,9510.77382,9525.103915,9310.15249,9421.486305,38675
26/05/22,000000,9423.690935,9435.8164,9267.162205,9412.667785,35178
27/05/22,000000,9412.667785,9539.43401,9380.70065,9527.308545,31537
29/05/22,000000,9524.0016,9536.127065,9518.490025,9522.899285,175
30/05/22,000000,9519.59234,9612.1868,9500.852985,9565.88957,18085
31/05/22,000000,9565.88957,9626.516895,9422.58862,9449.04418,39317
01/06/22,000000,9449.04418,9590.1405,9389.51917,9527.308545,46239
02/06/22,000000,9526.20623,10072.95447,9496.443725,10050.90817,61153
03/06/22,000000,10053.1128,10090.59151,9828.24054,9876.7424,35779
05/06/22,000000,9848.08221,9859.10536,9813.910445,9828.24054,1096
06/06/22,000000,9829.342855,9848.08221,9713.59978,9759.89701,53744
07/06/22,000000,9762.10164,9835.956745,9635.335415,9809.501185,40961
08/06/22,000000,9810.6035,9827.138225,9692.655795,9799.58035,36712
09/06/22,000000,9799.58035,9813.910445,9596.75439,9603.36828,44068
10/06/22,000000,9606.675225,9662.89329,9423.690935,9436.918715,41688
12/06/22,000000,9430.304825,9431.40714,9307.94786,9324.482585,2092
13/06/22,000000,9326.687215,9399.440005,9193.3071,9268.26452,58329
14/06/22,000000,9264.957575,9371.88213,9074.25708,9123.861255,48463
15/06/22,000000,9124.96357,9268.26452,9076.46171,9206.53488,42074
16/06/22,000000,9206.53488,9301.33397,8908.90983,9029.062165,56009
17/06/22,000000,9027.95985,9074.25708,8796.4737,8840.5663,41437
19/06/22,000000,8813.008425,8901.193625,8805.29222,8900.09131,663
20/06/22,000000,8898.988995,8906.7052,8698.367665,8836.15704,26949
21/06/22,000000,8836.15704,9001.50429,8773.325085,8871.43112,35152
22/06/22,000000,8870.328805,8870.328805,8555.066715,8658.684325,53901
23/06/22,000000,8661.99127,8670.80979,8207.83749,8277.283335,54250
24/06/22,000000,8277.283335,8373.18474,8024.8532,8243.11157,54104
26/06/22,000000,8244.213885,8332.399085,8244.213885,8305.943525,823
27/06/22,000000,8305.943525,8406.25419,8236.49768,8266.260185,27250
28/06/22,000000,8267.3625,8472.39309,8228.781475,8280.59028,12428
29/06/22,000000,8280.59028,8406.25419,8173.665725,8332.399085,2478
30/06/22,000000,8332.399085,8366.57085,8096.503675,8116.345345,49474
01/07/22,000000,8116.345345,8162.642575,7834.152705,7969.73745,61603
03/07/22,000000,7969.73745,7988.476805,7969.73745,7982.96523,335
04/07/22,000000,7981.862915,7985.16986,7814.311035,7902.496235,27699
05/07/22,000000,7902.496235,7973.044395,7495.742,7580.620255,72279
06/07/22,000000,7582.824885,7626.917485,7215.75399,7577.31331,72826
07/07/22,000000,7576.210995,7892.5754,7488.025795,7817.61798,79655
08/07/22,000000,7815.41335,7873.836045,7592.74572,7760.2976,52988
10/07/22,000000,7727.22815,7761.399915,7513.37904,7658.88462,1944
11/07/22,000000,7655.577675,7702.97722,7465.979495,7534.323025,51647
12/07/22,000000,7533.22071,7621.40591,7157.331295,7181.582225,55435
13/07/22,000000,7184.88917,7370.07809,7091.192395,7290.71141,80703
14/07/22,000000,7288.50678,7341.4179,6998.597935,7126.466475,67737
15/07/22,000000,7126.466475,7225.674825,6903.798845,7155.126665,70553
17/07/22,000000,7157.331295,7193.70769,7156.22898,7172.763705,516
18/07/22,000000,7172.763705,7431.80773,7092.29471,7302.836875,54888
19/07/22,000000,7305.041505,7337.00864,7171.66139,7277.48363,49342
20/07/22,000000,7279.68826,7441.728565,7267.562795,7302.836875,56703
21/07/22,000000,7302.836875,7328.19012,7166.149815,7295.12067,49422
22/07/22,000000,7294.018355,7493.53737,7265.358165,7325.98549,55672
24/07/22,000000,7338.110955,7351.338735,7331.497065,7335.906325,338
25/07/22,000000,7337.00864,7506.76515,7305.041505,7399.840595,46044
26/07/22,000000,7399.840595,7640.145265,7383.30587,7497.94663,54271
27/07/22,000000,7497.94663,7680.93092,7425.19384,7659.986935,48577
28/07/22,000000,7664.396195,7774.627695,7609.280445,7700.77259,57596
29/07/22,000000,7700.77259,7924.542535,7629.122115,7924.542535,60832
31/07/22,000000,7881.55225,7913.519385,7818.720295,7838.561965,1475
01/08/22,000000,7840.766595,7930.05411,7742.66056,7795.57168,54759
02/08/22,000000,7796.673995,7847.380485,7602.666555,7655.577675,55955
03/08/22,000000,7654.47536,7783.446215,7598.257295,7656.67999,44451
04/08/22,000000,7653.373045,7761.399915,7531.01608,7672.1124,46351
05/08/22,000000,7672.1124,7903.59855,7671.010085,7825.334185,52672
07/08/22,000000,7822.02724,7842.971225,7788.95779,7804.3902,486
08/08/22,000000,7804.3902,7986.272175,7785.650845,7904.700865,46309
09/08/22,000000,7902.496235,8003.909215,7850.68743,7904.700865,41447
10/08/22,000000,7903.59855,8063.434225,7825.334185,8024.8532,51753
11/08/22,000000,8023.750885,8175.870355,8011.62542,8143.90322,52461
12/08/22,000000,8141.69859,8185.79119,8030.364775,8110.83377,43850
14/08/22,000000,8104.21988,8109.731455,8061.229595,8077.76432,443
15/08/22,000000,8076.662005,8092.094415,7817.61798,7935.565685,49390
16/08/22,000000,7936.668,8032.569405,7898.086975,7988.476805,35724
17/08/22,000000,7986.272175,8050.206445,7861.71058,7905.80318,42745
18/08/22,000000,7905.80318,8083.275895,7808.79946,8025.955515,49407
19/08/22,000000,8025.955515,8111.936085,7954.30504,8098.708305,46484
21/08/22,000000,8086.58284,8098.708305,8063.434225,8066.74117,567
22/08/22,000000,8066.74117,8130.67544,7945.48652,8061.229595,41695
23/08/22,000000,8062.33191,8226.576845,7992.886065,8118.549975,51606
24/08/22,000000,8117.44766,8152.72174,7987.37449,8020.44394,39569
25/08/22,000000,8020.44394,8176.97267,8007.21616,8145.005535,36548
26/08/22,000000,8142.800905,8340.11529,8115.24303,8150.51711,39265
28/08/22,000000,8142.800905,8159.33563,8055.71802,8064.53654,673
29/08/22,000000,8062.33191,8068.9458,7853.994375,7949.89578,14433
30/08/22,000000,7943.28189,8011.62542,7785.650845,7831.948075,2365
31/08/22,000000,7833.05039,7934.46337,7593.848035,7737.148985,74864
01/09/22,000000,7738.2513,7740.45593,7503.458205,7527.709135,60405
02/09/22,000000,7527.709135,7616.99665,7454.956345,7497.94663,61449
04/09/22,000000,7494.639685,7495.742,7409.76143,7453.85403,1533
05/09/22,000000,7453.85403,7642.349895,7443.933195,7634.63369,38221
06/09/22,000000,7635.736005,7716.205,7575.10868,7615.894335,51686
07/09/22,000000,7614.79202,7643.45221,7502.35589,7598.257295,58875
08/09/22,000000,7598.257295,7845.175855,7588.33646,7845.175855,69898
09/09/22,000000,7844.07354,7999.499955,7796.673995,7831.948075,68175
11/09/22,000000,7839.66428,7862.812895,7818.720295,7829.743445,805
12/09/22,000000,7829.743445,7986.272175,7786.75316,7976.35134,46669
13/09/22,000000,7977.453655,8140.596275,7764.70686,7786.75316,76503
14/09/22,000000,7785.650845,7842.971225,7719.511945,7759.195285,49228
15/09/22,000000,7759.195285,7831.948075,7628.0198,7629.122115,53097
16/09/22,000000,7630.22443,7813.20872,7558.573955,7811.00409,54077
18/09/22,000000,7831.948075,7833.05039,7790.060105,7816.515665,810
19/09/22,000000,7815.41335,7844.07354,7659.986935,7777.93464,40813
20/09/22,000000,7777.93464,7820.924925,7678.72629,7714.00037,41797
21/09/22,000000,7715.102685,7751.47908,7501.253575,7570.69942,57162
22/09/22,000000,7568.49479,7764.70686,7540.936915,7637.940635,58333
23/09/22,000000,7636.83832,7655.577675,7334.80401,7382.203555,86288
25/09/22,000000,7386.612815,7394.32902,7343.62253,7383.30587,1626
26/09/22,000000,7385.5105,7417.477635,7217.95862,7257.64196,78906
27/09/22,000000,7258.744275,7392.12439,7204.73084,7262.05122,57225
28/09/22,000000,7260.948905,7478.10496,7149.61509,7450.547085,77339
29/09/22,000000,7449.44477,7587.234145,7287.404465,7571.801735,81040
30/09/22,000000,7571.801735,7659.986935,7471.49107,7471.49107,66015
02/10/22,000000,7488.025795,7504.56052,7478.10496,7496.844315,764
03/10/22,000000,7495.742,7548.65312,7389.91976,7529.913765,43093
04/10/22,000000,7532.118395,7785.650845,7500.15126,7700.77259,67331
05/10/22,000000,7698.56796,7838.561965,7598.257295,7809.901775,53371
06/10/22,000000,7811.00409,7921.23559,7564.08553,7577.31331,59448
07/10/22,000000,7578.415625,7601.56424,7436.21699,7458.26329,44129
09/10/22,000000,7460.46792,7460.46792,7431.80773,7440.62625,969
10/10/22,000000,7441.728565,7665.49851,7437.319305,7576.210995,51782
11/10/22,000000,7577.31331,7659.986935,7459.365605,7549.755435,54646
12/10/22,000000,7549.755435,7639.04295,7491.33274,7560.778585,25961
13/10/22,000000,7559.67627,7665.49851,7394.32902,7639.04295,77741
14/10/22,000000,7639.04295,7718.40963,7496.844315,7507.867465,62158
16/10/22,000000,7523.299875,7542.03923,7516.685985,7538.732285,517
17/10/22,000000,7538.732285,7644.554525,7474.798015,7510.072095,49064
18/10/22,000000,7510.072095,7574.006365,7361.25957,7407.5568,61192
19/10/22,000000,7407.5568,7441.728565,7290.71141,7316.064655,54129
20/10/22,000000,7318.269285,7577.31331,7281.89289,7484.71885,67034
21/10/22,000000,7483.616535,7677.623975,7375.589665,7673.214715,68903
23/10/22,000000,7683.13555,7715.102685,7654.47536,7657.782305,1622
24/10/22,000000,7658.88462,7726.125835,7545.346175,7568.49479,58132
25/10/22,000000,7568.49479,7586.13183,7413.068375,7491.33274,49029
26/10/22,000000,7490.230425,7836.357335,7457.160975,7797.77631,82400
27/10/22,000000,7797.77631,7840.766595,7696.36333,7765.809175,69701
28/10/22,000000,7765.809175,7777.93464,7531.01608,7572.90405,59678
29/10/22,000000,7561.8809,7572.90405,7536.527655,7566.29016,930
31/10/22,000000,7567.392475,7591.643405,7410.863745,7459.365605,52975
01/11/22,000000,7459.365605,7719.511945,7447.24014,7644.554525,69010
02/11/22,000000,7644.554525,7751.47908,7561.8809,7566.29016,56076
03/11/22,000000,7566.29016,7637.940635,7450.547085,7542.03923,60338
04/11/22,000000,7543.141545,8175.870355,7535.42534,8152.72174,130382
06/11/22,000000,8035.87635,8039.183295,7919.03096,7973.044395,5117
07/11/22,000000,7973.044395,8070.048115,7888.16614,7926.747165,71223
08/11/22,000000,7926.747165,8156.028685,7853.994375,8085.480525,65118
09/11/22,000000,8084.37821,8262.95324,7996.19301,8098.708305,69514
10/11/22,000000,8097.60599,8361.059275,7999.499955,8312.557415,74809
11/11/22,000000,8314.762045,8696.163035,8292.715745,8677.42368,84539
13/11/22,000000,8669.707475,8685.139885,8633.33108,8677.42368,1630
14/11/22,000000,8677.42368,8730.3348,8413.970395,8445.93753,71343
15/11/22,000000,8447.039845,8573.80607,8358.854645,8421.6866,57936
16/11/22,000000,8419.48197,8423.89123,8265.15787,8288.306485,42842
17/11/22,000000,8287.20417,8316.966675,8079.96895,8121.85692,47470
18/11/22,000000,8120.754605,8173.665725,7997.295325,8016.03468,42281
20/11/22,000000,8032.569405,8042.49024,8017.136995,8039.183295,599
21/11/22,000000,8038.08098,8038.08098,7820.924925,7901.39392,40998
22/11/22,000000,7901.39392,8088.78747,7879.34762,7995.090695,44328
23/11/22,000000,7996.19301,8061.229595,7916.82633,8040.28561,27903
24/11/22,000000,8040.28561,8102.01525,7989.57912,8024.8532,14933
25/11/22,000000,8024.8532,8131.777755,7960.91893,7981.862915,19649
27/11/22,000000,7903.59855,7930.05411,7865.017525,7869.426785,1101
28/11/22,000000,7870.5291,7984.067545,7806.59483,7922.337905,14725
29/11/22,000000,7923.44022,8106.42451,7915.724015,8029.26246,1740
30/11/22,000000,8030.364775,8368.77548,8011.62542,8361.059275,74383
01/12/22,000000,8358.854645,8427.198175,8234.29305,8369.877795,53348
02/12/22,000000,8368.77548,8520.89495,8255.237035,8501.05328,54088
04/12/22,000000,8494.43939,8540.73662,8490.03013,8524.201895,1084
05/12/22,000000,8440,8440,8440,8440,1
06/12/22,000000,8355,8412,8355,8384.75,4
07/12/22,000000,8427.198175,8540.73662,8322.47825,8485.62087,48340
08/12/22,000000,8487.8255,8625.614875,8450.34679,8561.680605,44571
09/12/22,000000,8495,8495,8490,8490.5,1
